Year,Date,Rotation,Treatment,Block,Plot ID,LH per sweep
2019,8/7/2019,BAU/Weed,BAU,1,W 173,0.1
2019,8/7/2019,BAU/Weed,BAU,1,W 174,0.1
2019,8/7/2019,BAU/Weed,BAU,2,W 643,0.1
2019,8/7/2019,BAU/Weed,BAU,2,W 644,0.3
2019,8/7/2019,BAU/Weed,BAU,3,E263,0.0
2019,8/7/2019,BAU/Weed,BAU,3,E264,0.1
2019,8/7/2019,BAU/Weed,BAU,4,E553,0.1
2019,8/7/2019,BAU/Weed,BAU,4,E554,0.1
2019,8/7/2019,Manure,IM,1,W213,0.0
2019,8/7/2019,Manure,IM,1,W214,0.0
2019,8/7/2019,Manure,IM,2,W511,0.1
2019,8/7/2019,Manure,IM,2,W512,0.3
2019,8/7/2019,Manure,IM,3,W 563,0.0
2019,8/7/2019,Manure,IM,3,W 564,0.0
2019,8/7/2019,Manure,IM,4,E 323,0.0
2019,8/7/2019,Manure,IM,4,E 324,0.0
2019,8/15/2019,BAU/Weed,BAU,1,W 173,0.1
2019,8/15/2019,BAU/Weed,BAU,1,W 174,0.2
2019,8/15/2019,BAU/Weed,BAU,2,W 643,0.1
2019,8/15/2019,BAU/Weed,BAU,2,W 644,0.4
2019,8/15/2019,BAU/Weed,BAU,3,E263,0.1
2019,8/15/2019,BAU/Weed,BAU,3,E264,0.1
2019,8/15/2019,BAU/Weed,BAU,4,E553,0.1
2019,8/15/2019,BAU/Weed,BAU,4,E554,0.1
2019,8/15/2019,Manure,IM,1,W213,0.4
2019,8/15/2019,Manure,IM,1,W214,0.1
2019,8/15/2019,Manure,IM,2,W511,0.2
2019,8/15/2019,Manure,IM,2,W512,0.3
2019,8/15/2019,Manure,IM,3,E 563,0.3
2019,8/15/2019,Manure,IM,3,E 564,0.2
2019,8/15/2019,Manure,IM,4,E 323,0.1
2019,8/15/2019,Manure,IM,4,E 324,0.1
2019,8/21/2019,BAU/Weed,BAU,1,W 173,0.1
2019,8/21/2019,BAU/Weed,BAU,1,W 174,0.1
2019,8/21/2019,BAU/Weed,BAU,2,W 643,0.2
2019,8/21/2019,BAU/Weed,BAU,2,W 644,0.2
2019,8/21/2019,BAU/Weed,BAU,3,E263,0.1
2019,8/21/2019,BAU/Weed,BAU,3,E264,0.0
2019,8/21/2019,BAU/Weed,BAU,4,E553,0.0
2019,8/21/2019,BAU/Weed,BAU,4,E554,0.2
2019,8/21/2019,Manure,IM,1,W213,0.1
2019,8/21/2019,Manure,IM,1,W214,0.1
2019,8/21/2019,Manure,IM,2,W511,0.2
2019,8/21/2019,Manure,IM,2,W512,0.0
2019,8/21/2019,Manure,IM,3,E 563,0.0
2019,8/21/2019,Manure,IM,3,E 564,0.1
2019,8/21/2019,Manure,IM,4,E 323,0.0
2019,8/21/2019,Manure,IM,4,E 324,0.1
2020,6/22/2020,BAU/Weed,BAU,1,W 621,0.4
2020,6/22/2020,BAU/Weed,BAU,1,W 622,0.1
2020,6/22/2020,BAU/Weed,BAU,2,E 443,0.0
2020,6/22/2020,BAU/Weed,BAU,2,E 444,0.1
2020,6/22/2020,BAU/Weed,BAU,4,W 531,1.7
2020,6/22/2020,BAU/Weed,BAU,4,W 532,1.5
2020,6/22/2020,BAU/Weed,BAU,4,E 453,0.1
2020,6/22/2020,BAU/Weed,BAU,4,E 454,0.0
2020,6/22/2020,Manure,IM,1,W 121,1.1
2020,6/22/2020,Manure,IM,1,W 122,1.6
2020,6/22/2020,Manure,IM,2,W 411,1.8
2020,6/22/2020,Manure,IM,2,W 412,1.6
2020,6/22/2020,Manure,IM,3,E 311,0.6
2020,6/22/2020,Manure,IM,3,E312,1.0
2020,6/22/2020,Manure,IM,4,E 331,1.3
2020,6/22/2020,Manure,IM,4,E 332,1.6
2020,6/22/2020,BAU/Weed,BAU,1,W153,0.2
2020,6/22/2020,BAU/Weed,BAU,1,W 154,0.1
2020,6/22/2020,BAU/Weed,BAU,2,E 441,0.1
2020,6/22/2020,BAU/Weed,BAU,2,E 442,0.1
2020,6/22/2020,BAU/Weed,BAU,3,W 271,2.0
2020,6/22/2020,BAU/Weed,BAU,3,W 272,2.1
2020,6/22/2020,BAU/Weed,BAU,4,E 131,1.3
2020,6/22/2020,BAU/Weed,BAU,4,E 132,1.8
2020,6/22/2020,Manure,IM,1,W 133,1.0
2020,6/22/2020,Manure,IM,1,W 134,1.2
2020,6/22/2020,Manure,IM,2,W 421,1.2
2020,6/22/2020,Manure,IM,2,W 422,1.5
2020,6/22/2020,Manure,IM,3,E 651,1.2
2020,6/22/2020,Manure,IM,3,E 652,1.7
2021,6/10/2021,BAU/Weed,BAU,1,W 611,0.2
2021,6/10/2021,BAU/Weed,BAU,1,W 612,0.1
2021,6/10/2021,Manure,IM,1,W 221,0.4
2021,6/10/2021,Manure,IM,1,W 222 ,0.2
2021,6/10/2021,Manure,IM,2,W 313,0.4
2021,6/10/2021,Manure,IM,2,W 314,0.6
2021,6/10/2021,BAU/Weed,BAU,2,E 463,0.1
2021,6/10/2021,BAU/Weed,BAU,2,E 464,0.1
2021,6/10/2021,Manure,IM,3,W 663,0.2
2021,6/10/2021,Manure,IM,3,W 664,0.4
2021,7/6/2021,BAU/Weed,BAU,3,W 251,0.0
2021,7/6/2021,BAU/Weed,BAU,3,W 252,0.5
2021,6/10/2021,Manure,IM,4,E 341,0.4
2021,6/10/2021,Manure,IM,4,E 342,1.0
2021,7/6/2021,BAU/Weed,BAU,4,W 611,0.1
2021,7/6/2021,BAU/Weed,BAU,4,W 612,0.4
2021,7/6/2021,BAU/Weed,BAU,1,E 243,0.4
2021,7/6/2021,BAU/Weed,BAU,1,E 244,0.1
2021,7/6/2021,BAU/Weed,BAU,1,E 463,0.4
2021,7/6/2021,BAU/Weed,BAU,1,E 464,0.1
2021,7/6/2021,Manure,IM,1,W 121,0.3
2021,7/6/2021,Manure,IM,1,W 122,0.0
2021,7/6/2021,Manure,IM,1,W 221,0.4
2021,7/6/2021,Manure,IM,1,W 222,0.3
2021,7/6/2021,Manure,IM,2,W 313,0.3
2021,7/6/2021,Manure,IM,2,W 314,0.1
2021,7/6/2021,Manure,IM,2,W 411,0.1
2021,7/6/2021,Manure,IM,2,W 412,0.2
2021,6/10/2021,BAU/Weed,BAU,2,W 613,0.1
2021,6/10/2021,BAU/Weed,BAU,2,W 614,0.1
2021,6/10/2021,BAU/Weed,BAU,2,E 461,0.1
2021,6/10/2021,BAU/Weed,BAU,2,E 462,0.2
2021,7/6/2021,Manure,IM,3,W 663,0.1
2021,7/6/2021,Manure,IM,3,W 664,0.1
2021,7/6/2021,Manure,IM,2,E 313,0.3
2021,7/6/2021,Manure,IM,2,E 314,0.2
2021,7/6/2021,BAU/Weed,BAU,3,W 153,0.2
2021,7/6/2021,BAU/Weed,BAU,3,W 154,0.1
2021,7/6/2021,BAU/Weed,BAU,3,W 613,0.3
2021,7/6/2021,BAU/Weed,BAU,3,W 614,0.4
2021,7/6/2021,Manure,IM,4,E 331,0.2
2021,7/6/2021,Manure,IM,4,E 332,0.3
2021,7/6/2021,Manure,IM,4,E 341,0.1
2021,7/6/2021,Manure,IM,4,E 342,0.2
2021,7/6/2021,BAU/Weed,BAU,4,E 241,0.6
2021,7/6/2021,BAU/Weed,BAU,4,E 242,0.2
2021,7/6/2021,BAU/Weed,BAU,4,E 443,0.1
2021,7/6/2021,BAU/Weed,BAU,4,E 444,0.3
2022,6/8/2022,Manure,IM,1,W 113,0.1
2022,6/8/2022,Manure,IM,1,W 114,0.1
2022,6/8/2022,Manure,IM,1,W 221,0.4
2022,6/8/2022,Manure,IM,1,W 222,0.1
2022,6/8/2022,BAU/Weed,BAU,1,W 253,0.0
2022,6/8/2022,BAU/Weed,BAU,1,W 254,0.1
2022,6/8/2022,BAU/Weed,BAU,1,W 261,0.0
2022,6/8/2022,BAU/Weed,BAU,1,W 262,0.0
2022,6/8/2022,Manure,IM,2,W 313,0.3
2022,6/8/2022,Manure,IM,2,W 314,0.3
2022,6/8/2022,Manure,IM,2,W 321,0.0
2022,6/8/2022,Manure,IM,2,W 322,0.2
2022,6/8/2022,Manure,IM,3,W 553,0.1
2022,6/8/2022,Manure,IM,3,W 554,0.0
2022,6/8/2022,BAU/Weed,BAU,2,W 613,0.0
2022,6/8/2022,BAU/Weed,BAU,2,W 614,0.0
2022,6/8/2022,BAU/Weed,BAU,2,W 631,0.0
2022,6/8/2022,BAU/Weed,BAU,2,W 632,0.0
2022,6/8/2022,Manure,IM,3,W 663,0.1
2022,6/8/2022,Manure,IM,3,W 664,0.2
2022,6/8/2022,BAU/Weed,BAU,3,E 161,0.0
2022,6/8/2022,BAU/Weed,BAU,3,E 162,0.1
2022,6/8/2022,BAU/Weed,BAU,3,E 241,0.0
2022,6/8/2022,BAU/Weed,BAU,3,E 242,0.1
2022,6/8/2022,Manure,IM,4,E 341,0.3
2022,6/8/2022,Manure,IM,4,E 342,0.1
2022,6/8/2022,Manure,IM,4,E 353,0.0
2022,6/8/2022,Manure,IM,4,E 354,0.1
2022,6/8/2022,BAU/Weed,BAU,4,E 461,0.1
2022,6/8/2022,BAU/Weed,BAU,4,E 462,0.0
2022,6/8/2022,BAU/Weed,BAU,4,E 563,0.0
2022,6/8/2022,BAU/Weed,BAU,4,E 564,0.0
2022,6/15/2022,Manure,IM,1,W 113,1.3
2022,6/15/2022,Manure,IM,1,W 114,1.1
2022,6/15/2022,Manure,IM,1,W 221,0.9
2022,6/15/2022,Manure,IM,1,W 222,1.3
2022,6/15/2022,BAU/Weed,BAU,1,W 253,0.2
2022,6/15/2022,BAU/Weed,BAU,1,W 254,0.1
2022,6/15/2022,BAU/Weed,BAU,1,W 261,0.2
2022,6/15/2022,BAU/Weed,BAU,1,W 262,0.5
2022,6/15/2022,Manure,IM,2,W 313,0.5
2022,6/15/2022,Manure,IM,2,W 314,0.3
2022,6/15/2022,Manure,IM,2,W 321,0.9
2022,6/15/2022,Manure,IM,2,W 322,0.6
2022,6/15/2022,Manure,IM,3,W 553,1.5
2022,6/15/2022,Manure,IM,3,W 554,0.8
2022,6/15/2022,BAU/Weed,BAU,2,W 613,0.0
2022,6/15/2022,BAU/Weed,BAU,2,W 614,0.0
2022,6/15/2022,BAU/Weed,BAU,2,W 631,0.6
2022,6/15/2022,BAU/Weed,BAU,2,W 632,0.5
2022,6/15/2022,Manure,IM,3,W 663,0.2
2022,6/15/2022,Manure,IM,3,W 664,0.4
2022,6/15/2022,BAU/Weed,BAU,3,E 161,0.2
2022,6/15/2022,BAU/Weed,BAU,3,E 162,0.0
2022,6/15/2022,BAU/Weed,BAU,3,E 241,0.0
2022,6/15/2022,BAU/Weed,BAU,3,E 242,0.0
2022,6/15/2022,Manure,IM,4,E 341,0.4
2022,6/15/2022,Manure,IM,4,E 342,0.2
2022,6/15/2022,Manure,IM,4,E 353,1.7
2022,6/15/2022,Manure,IM,4,E 354,1.4
2022,6/15/2022,BAU/Weed,BAU,4,E 461,0.0
2022,6/15/2022,BAU/Weed,BAU,4,E 462,0.0
2022,6/15/2022,BAU/Weed,BAU,4,E 563,0.5
2022,6/15/2022,BAU/Weed,BAU,4,E 564,0.5
2022,6/28/2022,Manure,IM,1,W 113,0.9
2022,6/28/2022,Manure,IM,1,W 114,1.5
2022,6/28/2022,Manure,IM,1,W 221,0.4
2022,6/28/2022,Manure,IM,1,W 222,0.3
2022,6/28/2022,BAU/Weed,BAU,1,W 253,0.3
2022,6/28/2022,BAU/Weed,BAU,1,W 254,0.1
2022,6/28/2022,BAU/Weed,BAU,1,W 261,0.8
2022,6/28/2022,BAU/Weed,BAU,1,W 262,0.9
2022,6/28/2022,BAU/Weed,BAU,1,W 263,0.9
2022,6/28/2022,BAU/Weed,BAU,1,W 264,0.2
2022,6/28/2022,Manure,IM,2,W 313,0.0
2022,6/28/2022,Manure,IM,2,W 314,0.2
2022,6/28/2022,Manure,IM,2,W 321,0.1
2022,6/28/2022,Manure,IM,2,W 322,0.2
2022,6/28/2022,Manure,IM,3,W 553,0.5
2022,6/28/2022,Manure,IM,3,W 554,0.8
2022,6/28/2022,BAU/Weed,BAU,2,W 613,0.0
2022,6/28/2022,BAU/Weed,BAU,2,W 614,0.0
2022,6/28/2022,BAU/Weed,BAU,2,W 631,0.1
2022,6/28/2022,BAU/Weed,BAU,2,W 632,0.0
2022,6/28/2022,Manure,IM,3,W 663,0.1
2022,6/28/2022,Manure,IM,3,W 664,0.2
2022,6/28/2022,BAU/Weed,BAU,3,E 161,0.1
2022,6/28/2022,BAU/Weed,BAU,3,E 162,0.1
2022,6/28/2022,BAU/Weed,BAU,3,E 241,0.0
2022,6/28/2022,BAU/Weed,BAU,3,E 242,0.0
2022,6/28/2022,Manure,IM,4,E 341,0.1
2022,6/28/2022,Manure,IM,4,E 342,0.1
2022,6/28/2022,Manure,IM,4,E 353,1.0
2022,6/28/2022,Manure,IM,4,E 354,0.4
2022,6/28/2022,BAU/Weed,BAU,4,E 461,0.1
2022,6/28/2022,BAU/Weed,BAU,4,E 462,0.1
2022,6/28/2022,BAU/Weed,BAU,4,E 563,0.0
2022,6/28/2022,BAU/Weed,BAU,4,E 564,0.1
2022,7/14/2022,Manure,IM,1,W 113,0.1
2022,7/14/2022,Manure,IM,1,W 114,0.1
2022,7/14/2022,Manure,IM,1,W 221,0.4
2022,7/14/2022,Manure,IM,1,W 222,0.2
2022,7/14/2022,BAU/Weed,BAU,1,W 253,0.0
2022,7/14/2022,BAU/Weed,BAU,1,W 254,0.1
2022,7/14/2022,BAU/Weed,BAU,1,W 261,0.3
2022,7/14/2022,BAU/Weed,BAU,1,W 262,0.1
2022,7/14/2022,BAU/Weed,BAU,1,W 263,0.0
2022,7/14/2022,BAU/Weed,BAU,1,W 264,0.0
2022,7/14/2022,Manure,IM,2,W 313,0.3
2022,7/14/2022,Manure,IM,2,W 314,0.0
2022,7/14/2022,Manure,IM,2,W 321,0.0
2022,7/14/2022,Manure,IM,2,W 322,0.0
2022,7/14/2022,Manure,IM,3,W 553,0.0
2022,7/14/2022,Manure,IM,3,W 554,0.0
2022,7/14/2022,BAU/Weed,BAU,2,W 613,0.0
2022,7/14/2022,BAU/Weed,BAU,2,W 614,0.0
2022,7/14/2022,BAU/Weed,BAU,2,W 631,0.4
2022,7/14/2022,BAU/Weed,BAU,2,W 632,0.1
2022,7/14/2022,Manure,IM,3,W 663,0.1
2022,7/14/2022,Manure,IM,3,W 664,0.1
2022,7/14/2022,BAU/Weed,BAU,3,E 161,0.0
2022,7/14/2022,BAU/Weed,BAU,3,E 162,0.0
2022,7/14/2022,BAU/Weed,BAU,3,E 241,0.1
2022,7/14/2022,BAU/Weed,BAU,3,E 242,0.1
2022,7/14/2022,Manure,IM,4,E 341,0.2
2022,7/14/2022,Manure,IM,4,E 342,0.1
2022,7/14/2022,Manure,IM,4,E 353,0.1
2022,7/14/2022,Manure,IM,4,E 354,0.0
2022,7/14/2022,BAU/Weed,BAU,4,E 461,0.0
2022,7/14/2022,BAU/Weed,BAU,4,E 462,0.0
2022,7/14/2022,BAU/Weed,BAU,4,E 563,0.4
2022,7/14/2022,BAU/Weed,BAU,4,E 564,0.3
2022,7/20/2022,Manure,IM,1,W 113,0.0
2022,7/20/2022,Manure,IM,1,W 114,0.0
2022,7/20/2022,Manure,IM,1,W 221,0.1
2022,7/20/2022,Manure,IM,1,W 222,0.1
2022,7/20/2022,BAU/Weed,BAU,1,W 253,0.1
2022,7/20/2022,BAU/Weed,BAU,1,W 254,0.1
2022,7/20/2022,BAU/Weed,BAU,1,W 261,0.2
2022,7/20/2022,BAU/Weed,BAU,1,W 262,0.0
2022,7/20/2022,BAU/Weed,BAU,1,W 263,0.0
2022,7/20/2022,BAU/Weed,BAU,1,W 264,0.1
2022,7/20/2022,Manure,IM,2,W 313,0.1
2022,7/20/2022,Manure,IM,2,W 314,0.1
2022,7/20/2022,Manure,IM,2,W 321,0.0
2022,7/20/2022,Manure,IM,2,W 322,0.0
2022,7/20/2022,Manure,IM,3,W 553,0.0
2022,7/20/2022,Manure,IM,3,W 554,0.0
2022,7/20/2022,BAU/Weed,BAU,2,W 613,0.0
2022,7/20/2022,BAU/Weed,BAU,2,W 614,0.0
2022,7/20/2022,BAU/Weed,BAU,2,W 631,0.0
2022,7/20/2022,BAU/Weed,BAU,2,W 632,0.0
2022,7/20/2022,Manure,IM,3,W 663,0.1
2022,7/20/2022,Manure,IM,3,W 664,0.1
2022,7/20/2022,BAU/Weed,BAU,3,E 161,0.1
2022,7/20/2022,BAU/Weed,BAU,3,E 162,0.2
2022,7/20/2022,BAU/Weed,BAU,3,E 241,0.0
2022,7/20/2022,BAU/Weed,BAU,3,E 242,0.0
2022,7/20/2022,Manure,IM,4,E 341,0.1
2022,7/20/2022,Manure,IM,4,E 342,0.0
2022,7/20/2022,Manure,IM,4,E 353,0.1
2022,7/20/2022,Manure,IM,4,E 354,0.1
2022,7/20/2022,BAU/Weed,BAU,4,E 461,0.0
2022,7/20/2022,BAU/Weed,BAU,4,E 462,0.0
2022,7/20/2022,BAU/Weed,BAU,4,E 563,0.0
2022,7/20/2022,BAU/Weed,BAU,4,E 564,0.0
2022,8/2/2022,Manure,IM,1,W 113,0.1
2022,8/2/2022,Manure,IM,1,W 114,0.0
2022,8/2/2022,Manure,IM,1,W 221,0.1
2022,8/2/2022,Manure,IM,1,W 222,0.1
2022,8/2/2022,BAU/Weed,BAU,1,W 253,0.0
2022,8/2/2022,BAU/Weed,BAU,1,W 254,0.0
2022,8/2/2022,BAU/Weed,BAU,1,W 261,0.0
2022,8/2/2022,BAU/Weed,BAU,1,W 262,0.1
2022,8/2/2022,BAU/Weed,BAU,1,W 263,0.0
2022,8/2/2022,BAU/Weed,BAU,1,W 264,0.0
2022,8/2/2022,Manure,IM,2,W 313,0.2
2022,8/2/2022,Manure,IM,2,W 314,0.0
2022,8/2/2022,Manure,IM,2,W 321,0.1
2022,8/2/2022,Manure,IM,2,W 322,0.0
2022,8/2/2022,Manure,IM,3,W 553,0.0
2022,8/2/2022,Manure,IM,3,W 554,0.1
2022,8/2/2022,BAU/Weed,BAU,2,W 613,0.1
2022,8/2/2022,BAU/Weed,BAU,2,W 614,0.2
2022,8/2/2022,BAU/Weed,BAU,2,W 631,0.0
2022,8/2/2022,BAU/Weed,BAU,2,W 632,0.1
2022,8/2/2022,Manure,IM,3,W 663,0.0
2022,8/2/2022,Manure,IM,3,W 664,0.1
2022,8/2/2022,BAU/Weed,BAU,3,E 161,0.0
2022,8/2/2022,BAU/Weed,BAU,3,E 162,0.0
2022,8/2/2022,BAU/Weed,BAU,3,E 241,0.0
2022,8/2/2022,BAU/Weed,BAU,3,E 242,0.0
2022,8/2/2022,Manure,IM,4,E 341,0.0
2022,8/2/2022,Manure,IM,4,E 342,0.0
2022,8/2/2022,Manure,IM,4,E 353,0.0
2022,8/2/2022,Manure,IM,4,E 354,0.0
2022,8/2/2022,BAU/Weed,BAU,4,E 461,0.1
2022,8/2/2022,BAU/Weed,BAU,4,E 462,0.1
2022,8/2/2022,BAU/Weed,BAU,4,E 563,0.1
2022,8/2/2022,BAU/Weed,BAU,4,E 564,0.1
2022,8/10/2022,Manure,IM,1,W 113,0.3
2022,8/10/2022,Manure,IM,1,W 114,0.2
2022,8/10/2022,Manure,IM,1,W 221,0.3
2022,8/10/2022,Manure,IM,1,W 222,0.4
2022,8/10/2022,BAU/Weed,BAU,1,W 253,0.3
2022,8/10/2022,BAU/Weed,BAU,1,W 254,0.0
2022,8/10/2022,BAU/Weed,BAU,1,W 261,0.5
2022,8/10/2022,BAU/Weed,BAU,1,W 262,0.3
2022,8/10/2022,BAU/Weed,BAU,1,W 263,0.2
2022,8/10/2022,BAU/Weed,BAU,1,W 264,0.1
2022,8/10/2022,Manure,IM,2,W 313,0.4
2022,8/10/2022,Manure,IM,2,W 314,0.3
2022,8/10/2022,Manure,IM,2,W 321,0.4
2022,8/10/2022,Manure,IM,2,W 322,0.6
2022,8/10/2022,Manure,IM,3,W 553,0.1
2022,8/10/2022,Manure,IM,3,W 554,0.0
2022,8/10/2022,BAU/Weed,BAU,2,W 613,0.1
2022,8/10/2022,BAU/Weed,BAU,2,W 614,0.1
2022,8/10/2022,BAU/Weed,BAU,2,W 631,0.1
2022,8/10/2022,BAU/Weed,BAU,2,W 632,0.1
2022,8/10/2022,Manure,IM,3,W 663,0.1
2022,8/10/2022,Manure,IM,3,W 664,0.2
2022,8/10/2022,BAU/Weed,BAU,3,E 161,0.0
2022,8/10/2022,BAU/Weed,BAU,3,E 162,0.0
2022,8/10/2022,BAU/Weed,BAU,3,E 241,0.0
2022,8/10/2022,BAU/Weed,BAU,3,E 242,0.1
2022,8/10/2022,Manure,IM,4,E 341,0.1
2022,8/10/2022,Manure,IM,4,E 342,0.0
2022,8/10/2022,Manure,IM,4,E 353,0.2
2022,8/10/2022,Manure,IM,4,E 354,0.1
2022,8/10/2022,BAU/Weed,BAU,4,E 461,0.1
2022,8/10/2022,BAU/Weed,BAU,4,E 462,0.1
2022,8/10/2022,BAU/Weed,BAU,4,E 563,0.1
2022,8/10/2022,BAU/Weed,BAU,4,E 564,0.1
2022,8/17/2022,Manure,IM,1,W 113,0.1
2022,8/17/2022,Manure,IM,1,W 114,0.0
2022,8/17/2022,Manure,IM,1,W 221,0.0
2022,8/17/2022,Manure,IM,1,W 222,0.2
2022,8/17/2022,BAU/Weed,BAU,1,W 253,0.1
2022,8/17/2022,BAU/Weed,BAU,1,W 254,0.0
2022,8/17/2022,BAU/Weed,BAU,1,W 261,0.0
2022,8/17/2022,BAU/Weed,BAU,1,W 262,0.0
2022,8/17/2022,BAU/Weed,BAU,1,W 263,0.1
2022,8/17/2022,BAU/Weed,BAU,1,W 264,0.1
2022,8/17/2022,Manure,IM,2,W 313,0.1
2022,8/17/2022,Manure,IM,2,W 314,0.0
2022,8/17/2022,Manure,IM,2,W 321,0.1
2022,8/17/2022,Manure,IM,2,W 322,0.0
2022,8/17/2022,Manure,IM,3,W 553,0.1
2022,8/17/2022,Manure,IM,3,W 554,0.1
2022,8/17/2022,BAU/Weed,BAU,2,W 613,0.1
2022,8/17/2022,BAU/Weed,BAU,2,W 614,0.6
2022,8/17/2022,BAU/Weed,BAU,2,W 631,0.1
2022,8/17/2022,BAU/Weed,BAU,2,W 632,0.0
2022,8/17/2022,Manure,IM,3,W 663,0.3
2022,8/17/2022,Manure,IM,3,W 664,0.3
2022,8/17/2022,BAU/Weed,BAU,3,E 161,0.1
2022,8/17/2022,BAU/Weed,BAU,3,E 162,0.1
2022,8/17/2022,BAU/Weed,BAU,3,E 241,0.0
2022,8/17/2022,BAU/Weed,BAU,3,E 242,0.0
2022,8/17/2022,Manure,IM,4,E 341,0.1
2022,8/17/2022,Manure,IM,4,E 342,0.2
2022,8/17/2022,Manure,IM,4,E 353,0.1
2022,8/17/2022,Manure,IM,4,E 354,0.1
2022,8/17/2022,BAU/Weed,BAU,4,E 461,0.1
2022,8/17/2022,BAU/Weed,BAU,4,E 462,0.2
2022,8/17/2022,BAU/Weed,BAU,4,E 563,0.3
2022,8/17/2022,BAU/Weed,BAU,4,E 564,0.2
2022,8/29/2022,Manure,IM,1,W 113,0.0
2022,8/29/2022,Manure,IM,1,W 114,0.0
2022,8/29/2022,Manure,IM,1,W 221,0.1
2022,8/29/2022,Manure,IM,1,W 222,0.0
2022,8/29/2022,BAU/Weed,BAU,1,W 253,0.0
2022,8/29/2022,BAU/Weed,BAU,1,W 254,0.0
2022,8/29/2022,BAU/Weed,BAU,1,W 261,0.0
2022,8/29/2022,BAU/Weed,BAU,1,W 262,0.0
2022,8/29/2022,BAU/Weed,BAU,1,W 263,0.0
2022,8/29/2022,BAU/Weed,BAU,1,W 264,0.0
2022,8/29/2022,Manure,IM,2,W 313,0.0
2022,8/29/2022,Manure,IM,2,W 314,0.0
2022,8/29/2022,Manure,IM,2,W 321,0.0
2022,8/29/2022,Manure,IM,2,W 322,0.0
2022,8/29/2022,Manure,IM,3,W 553,0.0
