Year,Rotation,Treatment,Plot ID,Rep,Leafhopper,LH split split aver. ,LH per sweep
2020,BAU/Weed,RH,E 444,1,1,0.5,0.05
2020,BAU/Weed,RH,W 273,1,31,15.5,1.55
2020,BAU/Weed,RH,W 274,1,27,13.5,1.35
2020,BAU/Weed,RH,W 531,1,33,16.5,1.65
2020,BAU/Weed,RH,W 532,1,30,15,1.5
2020,BAU/Weed,RH,E 133,1,16,8,0.8
2020,BAU/Weed,RH,E 134,1,5,2.5,0.25
2020,BAU/Weed,RH,E 453,1,1,0.5,0.05
2020,BAU/Weed,RH,E 454,1,0,0,0
2020,BAU/Weed,SH,W153,1,4,2,0.2
2020,BAU/Weed,SH,W 154,1,2,1,0.1
2020,BAU/Weed,SH,W 623,1,4,2,0.2
2020,BAU/Weed,SH,W 624,1,6,3,0.3
2020,BAU/Weed,SH,E 233,1,4,2,0.2
2020,BAU/Weed,SH,E 234,1,2,1,0.1
2020,BAU/Weed,SH,E 441,1,1,0.5,0.05
2020,BAU/Weed,SH,E 442,1,2,1,0.1
2020,BAU/Weed,SH,W 271,1,39,19.5,1.95
2020,BAU/Weed,SH,W 272,1,41,20.5,2.05
2020,BAU/Weed,SH,W 533,1,38,19,1.9
2020,BAU/Weed,SH,W 534,1,44,22,2.2
2020,BAU/Weed,SH,E 131,1,25,12.5,1.25
2020,BAU/Weed,SH,E 132,1,35,17.5,1.75
2020,BAU/Weed,SH,E 451,1,7,3.5,0.35
2020,BAU/Weed,SH,E 452,1,2,1,0.1
2021,BAU/Weed,RH,W 251,1,0,0,0
2021,BAU/Weed,RH,W 252,1,6,3,0.3
2021,BAU/Weed,RH,W 611,1,3,1.5,0.15
2021,BAU/Weed,RH,W 612,1,1,0.5,0.05
2021,BAU/Weed,RH,E 243,1,0,0,0
2021,BAU/Weed,RH,E 244,1,0,0,0
2021,BAU/Weed,RH,E 463,1,2,1,0.1
2021,BAU/Weed,RH,E 464,1,1,0.5,0.05
2021,BAU/Weed,RH,W 251,1,0,0,0
2021,BAU/Weed,RH,W 252,1,10,5,0.5
2021,BAU/Weed,RH,W 151,1,5,2.5,0.25
2021,BAU/Weed,RH,W 152,1,2,1,0.1
2021,BAU/Weed,RH,W 611,1,2,1,0.1
2021,BAU/Weed,RH,W 612,1,8,4,0.4
2021,BAU/Weed,RH,W 621,1,3,1.5,0.15
2021,BAU/Weed,RH,W 622,1,0,0,0
2021,BAU/Weed,RH,E 231,1,1,0.5,0.05
2021,BAU/Weed,RH,E 232,1,1,0.5,0.05
2021,BAU/Weed,RH,E 243,1,8,4,0.4
2021,BAU/Weed,RH,E 244,1,1,0.5,0.05
2021,BAU/Weed,RH,E 441,1,5,2.5,0.25
2021,BAU/Weed,RH,E 442,1,1,0.5,0.05
2021,BAU/Weed,RH,E 463,1,8,4,0.4
2021,BAU/Weed,RH,E 464,1,1,0.5,0.05
2021,BAU/Weed,SH,W 253,1,3,1.5,0.15
2021,BAU/Weed,SH,W254,1,0,0,0
2021,BAU/Weed,SH,W 613,1,1,0.5,0.05
2021,BAU/Weed,SH,W 614,1,2,1,0.1
2021,BAU/Weed,SH,E 241,1,1,0.5,0.05
2021,BAU/Weed,SH,E 242,1,1,0.5,0.05
2021,BAU/Weed,SH,E 461,1,1,0.5,0.05
2021,BAU/Weed,SH,E 462,1,3,2,0.2
2021,BAU/Weed,SH,W 253,1,9,4.5,0.45
2021,BAU/Weed,SH,W 254,1,5,2.5,0.25
2021,BAU/Weed,SH,W 153,1,3,1.5,0.15
2021,BAU/Weed,SH,W 154,1,2,1,0.1
2021,BAU/Weed,SH,W 613,1,5,2.5,0.25
2021,BAU/Weed,SH,W 614,1,7,3.5,0.35
2021,BAU/Weed,SH,W 623,1,3,1.5,0.15
2021,BAU/Weed,SH,W 624,1,2,1,0.1
2021,BAU/Weed,SH,E 233,1,2,1,0.1
2021,BAU/Weed,SH,E 234,1,2,1,0.1
2021,BAU/Weed,SH,E 241,1,11,5.5,0.55
2021,BAU/Weed,SH,E 242,1,3,1.5,0.15
2021,BAU/Weed,SH,E 443,1,1,0.5,0.05
2021,BAU/Weed,SH,E 444,1,5,2.5,0.25
2021,BAU/Weed,SH,E 461,1,4,2,0.2
2021,BAU/Weed,SH,E 462,1,4,2,0.2
