Year,Date,Rotation,Treatment,Plot ID,Rep,Leafhopper,LH split split aver. ,LH per sweep
2019,6/19/2019,BAU/Weed,RH,E262,1,0,0,0
2019,6/19/2019,BAU/Weed,RH,E 551,1,0,0,0
2019,6/19/2019,BAU/Weed,RH,E 552,1,0,0,0
2019,6/19/2019,BAU/Weed,SH,W 173,1,19,9.5,0.95
2019,6/19/2019,BAU/Weed,SH,W 174,1,43,21.5,2.15
2019,6/19/2019,BAU/Weed,SH,W 643,1,33,16.5,1.65
2019,6/19/2019,BAU/Weed,SH,W 644,1,37,18.5,1.85
2019,6/19/2019,BAU/Weed,SH,E263,1,0,0,0
2019,6/19/2019,BAU/Weed,SH,E264,1,0,0,0
2019,6/19/2019,BAU/Weed,SH,E553,1,0,0,0
2019,6/19/2019,BAU/Weed,SH,E554,1,0,0,0
2019,6/19/2019,Manure,IM,W213,1,23,11.5,1.15
2019,6/19/2019,Manure,IM,W214,1,26,13,1.3
2019,6/19/2019,Manure,IM,W511,1,34,17,1.7
2019,6/19/2019,Manure,IM,W512,1,32,16,1.6
2019,6/19/2019,Manure,IM,W 563,1,24,12,1.2
2019,6/19/2019,Manure,IM,W 564,1,32,16,1.6
2019,6/19/2019,Manure,IM,E 323,1,0,0,0
2019,6/19/2019,Manure,IM,E 324,1,0,0,0
2019,6/19/2019,Manure,BM,W 211,1,42,21,2.1
2019,6/19/2019,Manure,BM,W 212,1,40,20,2
2019,6/19/2019,Manure,BM,W 513,1,38,19,1.9
2019,6/19/2019,Manure,BM,W 514,1,39,19.5,1.95
2019,6/19/2019,Manure,BM,W 561,1,63,31.5,3.15
2019,6/19/2019,Manure,BM,W 562,1,47,23.5,2.35
2019,6/19/2019,Manure,BM,E 321,1,0,0,0
2019,6/19/2019,Manure,BM,E 322,1,0,0,0
2019,7/17/2019,BAU/Weed,RH,W 171,1,16,8,0.8
2019,7/17/2019,BAU/Weed,RH,W 172,1,6,3,0.3
2019,7/17/2019,BAU/Weed,RH,W 641,1,4,2,0.2
2019,7/17/2019,BAU/Weed,RH,W 642,1,2,1,0.1
2019,7/17/2019,BAU/Weed,RH,E261,1,3,1.5,0.15
2019,7/17/2019,BAU/Weed,RH,E262,1,1,0.5,0.05
2019,7/17/2019,BAU/Weed,RH,E 551,1,3,1.5,0.15
2019,7/17/2019,BAU/Weed,RH,E 552,1,2,1,0.1
2019,7/17/2019,BAU/Weed,SH,W 173,1,0,0,0
2019,7/17/2019,BAU/Weed,SH,W 174,1,0,0,0
2019,7/17/2019,BAU/Weed,SH,W 643,1,0,0,0
2019,7/17/2019,BAU/Weed,SH,W 644,1,0,0,0
2019,7/17/2019,BAU/Weed,SH,E263,1,0,0,0
2019,7/17/2019,BAU/Weed,SH,E264,1,0,0,0
2019,7/17/2019,BAU/Weed,SH,E553,1,0,0,0
2019,7/17/2019,BAU/Weed,SH,E554,1,0,0,0
2019,7/17/2019,Manure,IM,W213,1,5,2.5,0.25
2019,7/17/2019,Manure,IM,W214,1,8,4,0.4
2019,7/17/2019,Manure,IM,W511,1,4,2,0.2
2019,7/17/2019,Manure,IM,W512,1,7,3.5,0.35
2019,7/17/2019,Manure,IM,W 563,1,3,1.5,0.15
2019,7/17/2019,Manure,IM,W 564,1,3,1.5,0.15
2019,7/17/2019,Manure,IM,E 323,1,2,1,0.1
2019,7/17/2019,Manure,IM,E 324,1,2,1,0.1
2019,7/17/2019,Manure,BM,W 211,1,7,3.5,0.35
2019,7/17/2019,Manure,BM,W 212,1,3,1.5,0.15
2019,7/17/2019,Manure,BM,W 513,1,12,6,0.6
2019,7/17/2019,Manure,BM,W 514,1,7,3.5,0.35
2019,7/17/2019,Manure,BM,W 561,1,7,3.5,0.35
2019,7/17/2019,Manure,BM,W 562,1,10,5,0.5
2019,7/17/2019,Manure,BM,E 321,1,9,4.5,0.3
2019,7/17/2019,Manure,BM,E 322,1,5,2.5,0.25
2019,7/24/2019,BAU/Weed,RH,W 171,1,23,11.5,1.15
2019,7/24/2019,BAU/Weed,RH,W 172,1,5,2.5,0.25
2019,7/24/2019,BAU/Weed,RH,W 641,1,11,5.5,1.1
2019,7/24/2019,BAU/Weed,RH,W 642,1,8,4,0.8
2019,7/24/2019,BAU/Weed,RH,E261,1,7,3.5,0.35
2019,7/24/2019,BAU/Weed,RH,E262,1,6,3,0.3
2019,7/24/2019,BAU/Weed,RH,E 551,1,1,0.5,0.05
2019,7/24/2019,BAU/Weed,RH,E 552,1,8,4,0.4
2019,7/24/2019,BAU/Weed,SH,W 173,1,7,3.5,0.35
2019,7/24/2019,BAU/Weed,SH,W 174,1,3,1.5,0.15
2019,7/24/2019,BAU/Weed,SH,W 643,1,4,2,0.4
2019,7/24/2019,BAU/Weed,SH,W 644,1,0,0,0
2019,7/24/2019,BAU/Weed,SH,E263,1,5,2.5,0.25
2019,7/24/2019,BAU/Weed,SH,E264,1,1,0.5,0.05
2019,7/24/2019,BAU/Weed,SH,E553,1,3,1.5,0.15
2019,7/24/2019,BAU/Weed,SH,E554,1,0,0,0
2019,7/24/2019,Manure,IM,W213,1,30,15,1.5
2019,7/24/2019,Manure,IM,W214,1,15,7.5,0.75
2019,7/24/2019,Manure,IM,W511,1,12,6,0.6
2019,7/24/2019,Manure,IM,W512,1,17,8.5,0.85
2019,7/24/2019,Manure,IM,W 563,1,24,12,1.2
2019,7/24/2019,Manure,IM,W 564,1,29,14.5,1.45
2019,7/24/2019,Manure,IM,E 323,1,15,7.5,0.75
2019,7/24/2019,Manure,IM,E 324,1,10,5,0.5
2019,7/24/2019,Manure,BM,W 211,1,27,13.5,1.35
2019,7/24/2019,Manure,BM,W 212,1,13,6.5,0.65
2019,7/24/2019,Manure,BM,W 513,1,17,8.5,0.85
2019,7/24/2019,Manure,BM,W 514,1,18,9,0.9
2019,7/24/2019,Manure,BM,W 561,1,26,13,1.3
2019,7/24/2019,Manure,BM,W 562,1,23,11.5,1.15
2019,7/24/2019,Manure,BM,E 321,1,19,6,0.6
2019,7/24/2019,Manure,BM,E 322,1,16,8,0.8
2019,8/7/2019,BAU/Weed,RH,W 171,1,0,0,0
2019,8/7/2019,BAU/Weed,RH,W 172,1,1,0.5,0.05
2019,8/7/2019,BAU/Weed,RH,W 641,1,0,0,0
2019,8/7/2019,BAU/Weed,RH,W 642,1,1,0.5,0.05
2019,8/7/2019,BAU/Weed,RH,E261,1,1,0.5,0.05
2019,8/7/2019,BAU/Weed,RH,E262,1,0,0,0
2019,8/7/2019,BAU/Weed,RH,E 551,1,0,0,0
2019,8/7/2019,BAU/Weed,RH,E 552,1,0,0,0
2019,8/7/2019,BAU/Weed,SH,W 173,1,1,0.5,0.05
2019,8/7/2019,BAU/Weed,SH,W 174,1,2,1,0.1
2019,8/7/2019,BAU/Weed,SH,W 643,1,1,0.5,0.05
2019,8/7/2019,BAU/Weed,SH,W 644,1,5,2.5,0.25
2019,8/7/2019,BAU/Weed,SH,E263,1,0,0,0
2019,8/7/2019,BAU/Weed,SH,E264,1,2,1,0.1
2019,8/7/2019,BAU/Weed,SH,E553,1,1,0.5,0.05
2019,8/7/2019,BAU/Weed,SH,E554,1,1,0.5,0.05
2019,8/7/2019,Manure,IM,W213,1,0,0,0
2019,8/7/2019,Manure,IM,W214,1,0,0,0
2019,8/7/2019,Manure,IM,W511,1,1,0.5,0.05
2019,8/7/2019,Manure,IM,W512,1,6,3,0.3
2019,8/7/2019,Manure,IM,W 563,1,0,0,0
2019,8/7/2019,Manure,IM,W 564,1,0,0,0
2019,8/7/2019,Manure,IM,E 323,1,0,0,0
2019,8/7/2019,Manure,IM,E 324,1,0,0,0
2019,8/7/2019,Manure,BM,W 211,1,1,0.5,0.05
2019,8/7/2019,Manure,BM,W 212,1,3,1.5,0.15
2019,8/7/2019,Manure,BM,W 513,1,4,2,0.2
2019,8/7/2019,Manure,BM,W 514,1,2,1,0.1
2019,8/7/2019,Manure,BM,W 561,1,2,1,0.1
2019,8/7/2019,Manure,BM,W 562,1,3,1.5,0.15
2019,8/7/2019,Manure,BM,E 321,1,0,0,0
2019,8/7/2019,Manure,BM,E 322,1,1,0.5,0.05
2019,8/15/2019,BAU/Weed,RH,W 171,1,1,0.5,0.05
2019,8/15/2019,BAU/Weed,RH,W 172,1,3,1.5,0.15
2019,8/15/2019,BAU/Weed,RH,W 641,1,3,1.5,0.15
2019,8/15/2019,BAU/Weed,RH,W 642,1,0,0,0
2019,8/15/2019,BAU/Weed,RH,E261,1,0,0,0
2019,8/15/2019,BAU/Weed,RH,E262,1,1,0.5,0.05
2019,8/15/2019,BAU/Weed,RH,E 551,1,1,0.5,0.05
2019,8/15/2019,BAU/Weed,RH,E 552,1,1,0.5,0.05
2019,8/15/2019,BAU/Weed,SH,W 173,1,2,1,0.1
2019,8/15/2019,BAU/Weed,SH,W 174,1,3,1.5,0.15
2019,8/15/2019,BAU/Weed,SH,W 643,1,1,0.5,0.05
2019,8/15/2019,BAU/Weed,SH,W 644,1,7,3.5,0.35
2019,8/15/2019,BAU/Weed,SH,E263,1,1,0.5,0.05
2019,8/15/2019,BAU/Weed,SH,E264,1,1,0.5,0.05
2019,8/15/2019,BAU/Weed,SH,E553,1,2,1,0.1
2019,8/15/2019,BAU/Weed,SH,E554,1,2,1,0.1
2019,8/15/2019,Manure,IM,W213,1,7,3.5,0.35
2019,8/15/2019,Manure,IM,W214,1,2,1,0.1
2019,8/15/2019,Manure,IM,W511,1,4,2,0.2
2019,8/15/2019,Manure,IM,W512,1,5,2.5,0.25
2019,8/15/2019,Manure,IM,E 563,1,6,3,0.3
2019,8/15/2019,Manure,IM,E 564,1,4,2,0.2
2019,8/15/2019,Manure,IM,E 323,1,1,0.5,0.05
2019,8/15/2019,Manure,IM,E 324,1,2,1,0.1
2019,8/15/2019,Manure,BM,W 211,1,6,3,0.3
2019,8/15/2019,Manure,BM,W 212,1,4,2,0.2
2019,8/15/2019,Manure,BM,W 513,1,0,0,0
2019,8/15/2019,Manure,BM,W 514,1,2,1,0.1
2019,8/15/2019,Manure,BM,W 561,1,4,2,0.2
2019,8/15/2019,Manure,BM,W 562,1,6,3,0.1
2019,8/15/2019,Manure,BM,E 321,1,4,2,0.2
2019,8/15/2019,Manure,BM,E 322,1,2,1,0.1
2019,8/21/2019,BAU/Weed,RH,W 171,1,2,1,0.1
2019,8/21/2019,BAU/Weed,RH,W 172,1,3,1.5,0.15
2019,8/21/2019,BAU/Weed,RH,W 641,1,0,0,0
2019,8/21/2019,BAU/Weed,RH,W 642,1,3,1.5,0.15
2019,8/21/2019,BAU/Weed,RH,E261,1,2,1,0.1
2019,8/21/2019,BAU/Weed,RH,E262,1,2,1,0.1
2019,8/21/2019,BAU/Weed,RH,E 551,1,1,0.5,0.05
2019,8/21/2019,BAU/Weed,RH,E 552,1,0,0,0
2019,8/21/2019,BAU/Weed,SH,W 173,1,2,1,0.1
2019,8/21/2019,BAU/Weed,SH,W 174,1,2,1,0.1
2019,8/21/2019,BAU/Weed,SH,W 643,1,3,1.5,0.15
2019,8/21/2019,BAU/Weed,SH,W 644,1,4,2,0.2
2019,8/21/2019,BAU/Weed,SH,E263,1,2,1,0.1
2019,8/21/2019,BAU/Weed,SH,E264,1,0,0,0
2019,8/21/2019,BAU/Weed,SH,E553,1,0,0,0
2019,8/21/2019,BAU/Weed,SH,E554,1,3,1.5,0.15
2019,8/21/2019,Manure,IM,W213,1,1,0.5,0.05
2019,8/21/2019,Manure,IM,W214,1,1,0.5,0.05
2019,8/21/2019,Manure,IM,W511,1,3,1.5,0.15
2019,8/21/2019,Manure,IM,W512,1,0,0,0
2019,8/21/2019,Manure,IM,E 563,1,0,0,0
2019,8/21/2019,Manure,IM,E 564,1,2,1,0.1
2019,8/21/2019,Manure,IM,E 323,1,0,0,0
2019,8/21/2019,Manure,IM,E 324,1,1,0.5,0.05
2019,8/21/2019,Manure,BM,W 211,1,2,1,0.1
2019,8/21/2019,Manure,BM,W 212,1,0,0,0
2019,8/21/2019,Manure,BM,W 513,1,2,1,0.1
2019,8/21/2019,Manure,BM,W 514,1,2,1,0.1
2019,8/21/2019,Manure,BM,W 561,1,3,1.5,0.15
2019,8/21/2019,Manure,BM,W 562,1,2,1,0.1
2019,8/21/2019,Manure,BM,E 321,1,1,0.5,0.05
2019,8/21/2019,Manure,BM,E 322,1,3,1.5,0.15
